ID,COORDS_X,COORDS_Y,AGE,ROOMS,HOUSESIZE,LOTSIZE,INQUALITY,PARKING,DISTAMEN,DISTCBD,PROXAMEN,DFLOOD100,TRPRICE,YEAR,ASKPRICE,AGE2,HOUSESIZE2,LOTSIZE2,LN_DISTCBD,LN_DISTAMEN
6976832,177784,314846,26,7,151,438,4,1,510,3427,3229,0,490000,2020,515000,676,22801,191844,8.1394405,6.2344108
4965599,174993,316487,55,10,210,298,4,1,1761,2046,1978,0,489171,2015,500000,3025,44100,88804,7.623642,7.4736371
480240,178924,317130,53,6,130,519,2,1,1840,2669,1900,0,247798,2003,269000,2809,16900,269361,7.8894591,7.5175209
6147963,174649,319472,51,6,140,227,4,1,1493,2296,2246,0,305502,2017,319000,2601,19600,51529,7.7389235,7.3085427
5472675,174330,316347,47,6,160,438,4,1,2410,2631,1330,0,478420,2015,495000,2209,25600,191844,7.8751192,7.7873821
3979295,176316,318300,100,5,165,70,1,0,341,330,3399,0,231826,2010,235000,10000,27225,4900,5.7990928,5.8318825
4823326,175772,316338,62,7,175,156,4,0,971,1754,2769,0,300328,2013,325000,3844,30625,24336,7.4696541,6.8783264
5457878,173715,316162,53,6,151,290,4,0,3023,3236,716,0,174704,2015,179000,2809,22801,84100,8.0820932,8.0140047
5365914,173800,319461,51,4,73,122,4,0,2277,2987,1463,0,123246,2016,125000,2601,5329,14884,8.0020247,7.7306142
5450814,174206,319664,50,8,142,259,3,1,1827,2761,1913,0,204269,2015,210000,2500,20164,67081,7.9233484,7.5104303
5029849,177456,315247,91,8,137,276,4,0,238,2931,3501,0,158995,2014,175000,8281,18769,76176,7.983099,5.4722705
7169333,178062,317778,90,6,138,216,2,1,1184,1681,2556,0,243000,2020,245000,8100,19044,46656,7.4271441,7.076654
5803014,176625,316510,53,6,130,110,4,0,142,1487,3597,0,377238,2016,387000,2809,16900,12100,7.3045158,4.9558272
4893040,178528,314706,40,9,145,419,4,1,1186,3907,2554,0,330360,2013,345000,1600,21025,175561,8.270525,7.0783415
5422516,179183,315786,17,10,170,264,5,1,2033,3548,1707,0,455473,2016,465000,289,28900,69696,8.174139,7.6172676
3997957,176204,316679,90,10,120,96,4,0,589,1313,3150,0,286750,2011,295000,8100,14400,9216,7.1800699,6.3784261
4974542,175928,316860,53,6,150,215,4,0,903,1212,2836,0,393156,2013,445000,2809,22500,46225,7.1000271,6.8057227
4508038,177810,319166,84,8,152,530,4,0,830,1848,2910,0,218303,2012,219000,7056,23104,280900,7.5218592,6.7214255
5261575,175742,316641,63,5,125,488,2,0,1035,1488,2705,0,322317,2014,325000,3969,15625,238144,7.3051882,6.9421568
5997916,177581,319810,65,4,109,172,4,0,583,2182,3157,0,163851,2017,169000,4225,11881,29584,7.6879973,6.368187
5378052,177526,316937,54,5,88,199,4,0,433,1539,3306,0,161265,2015,165000,2916,7744,39601,7.3388882,6.0707378
